assignment_id,teacher_defined_difficulty,num_questions,avg_question_complexity,deadline_days,estimated_workload_hours,scheduling_difficulty
1,3,10,3.39,29,104.65,33.9
2,1,17,3.48,23,56.68,59.16
3,5,14,2.45,22,184.49,34.3
4,1,13,3.02,19,38.41,39.26
5,3,18,3.23,23,162.12,58.14
6,2,14,2.87,29,73.57,40.18
7,1,13,2.07,15,24.23,26.91
8,3,13,4.57,24,161.95,59.41
9,1,2,1.0,24,2.16,2.0
10,4,3,1.38,18,17.87,4.14
11,2,19,4.36,21,176.33,82.84
12,1,11,4.56,15,46.68,50.16
13,1,4,1.79,8,7.82,7.16
14,4,5,3.14,29,67.9,15.7
15,4,19,4.5,6,332.5,85.5
16,4,4,4.93,17,72.03,19.72
17,5,4,4.51,6,97.56,18.04
18,2,15,1.05,27,34.33,15.75
19,2,12,2.85,20,64.93,34.2
20,3,10,1.06,30,32.32,10.6
21,2,1,1.18,20,2.49,1.18
22,4,20,4.54,16,363.46,90.8
23,3,14,4.11,13,173.67,57.54
24,4,16,4.46,28,281.22,71.36
25,3,14,1.03,28,41.83,14.42
26,2,8,2.36,27,41.31,18.88
27,1,3,1.39,27,4.39,4.17
28,2,9,3.72,16,66.8,33.48
29,1,6,2.72,8,17.69,16.32
30,5,5,3.27,12,75.08,16.35
31,1,9,1.28,21,11.35,11.52
32,4,1,3.62,27,14.67,3.62
33,1,6,3.41,9,22.14,20.46
34,4,16,1.17,21,71.93,18.72
35,2,11,2.08,27,50.14,22.88
36,4,14,4.86,22,283.9,68.04
37,3,10,4.72,8,144.79,47.2
38,5,16,1.55,28,114.56,24.8
39,5,7,3.67,30,137.73,25.69
40,1,8,4.3,30,34.33,34.4
41,1,17,4.75,6,81.57,80.75
42,5,12,4.97,16,276.42,59.64
43,3,16,3.18,5,157.18,50.88
44,5,16,1.15,11,85.44,18.4
45,2,8,3.22,8,53.72,25.76
46,4,8,1.58,8,53.16,12.64
47,3,8,1.52,30,33.6,12.16
48,5,13,1.76,13,104.66,22.88
49,1,17,2.08,24,36.77,35.36
50,1,5,4.55,28,22.03,22.75
51,3,12,2.11,26,76.75,25.32
52,2,17,2.75,30,89.47,46.75
53,3,2,3.65,16,21.11,7.3
54,4,1,1.34,9,5.02,1.34
55,4,3,4.23,22,54.37,12.69
56,2,12,2.18,21,53.31,26.16
57,4,14,1.82,23,111.27,25.48
58,2,17,1.98,29,68.66,33.66
59,1,4,2.86,8,10.5,11.44
60,1,13,2.66,8,34.58,34.58
61,1,13,2.62,13,33.75,34.06
62,1,15,3.73,20,61.53,55.95
63,1,10,2.85,16,27.15,28.5
64,3,15,3.26,27,157.05,48.9
65,4,1,3.16,13,11.97,3.16
66,2,20,2.8,18,119.36,56.0
67,4,19,1.76,10,135.5,33.44
68,4,5,1.33,13,26.03,6.65
69,1,5,3.55,12,16.44,17.75
70,2,1,1.1,5,2.39,1.1
71,2,5,3.98,13,43.68,19.9
72,5,6,1.54,15,44.01,9.24
73,2,15,4.75,28,131.41,71.25
74,1,10,3.77,25,37.44,37.7
75,5,10,2.42,20,131.46,24.2
76,2,17,3.79,12,135.07,64.43
77,4,11,4.08,18,196.75,44.88
78,4,7,2.14,11,61.21,14.98
79,2,6,3.75,19,42.28,22.5
80,5,6,1.46,20,45.88,8.76
81,2,12,3.42,15,89.23,41.04
82,3,10,4.18,22,121.84,41.8
83,3,5,3.21,25,46.5,16.05
84,5,3,4.79,5,67.98,14.37
85,3,10,1.37,21,42.39,13.7
86,4,2,1.86,17,13.63,3.72
87,5,12,4.2,9,238.42,50.4
88,1,8,2.44,30,20.96,19.52
89,3,14,3.55,22,151.36,49.7
90,3,11,3.96,28,133.75,43.56
91,5,3,3.54,30,51.59,10.62
92,5,11,1.17,24,58.15,12.87
93,2,6,3.54,21,38.95,21.24
94,5,15,2.92,21,211.49,43.8
95,1,12,2.5,26,32.69,30.0
96,2,10,4.55,24,95.21,45.5
97,1,2,3.3,19,6.95,6.6
98,3,7,1.66,18,32.8,11.62
99,4,6,4.59,16,110.42,27.54
100,1,16,4.22,14,67.3,67.52
