Question_Difficulty,Total_Questions,Short_Questions_Included,Long_Questions_Included,Long_Question_Proportion
4,16,0,0,0.0
5,11,0,1,0.42
3,13,1,0,0.0
5,12,0,0,0.0
5,16,0,1,0.46
2,6,0,0,0.0
3,5,1,0,0.0
3,20,1,1,0.3
3,11,1,1,0.3
5,11,0,0,0.0
4,18,0,0,0.0
3,12,1,1,0.27
5,9,1,1,0.56
2,7,1,1,0.01
4,16,1,1,0.43
2,12,0,0,0.0
4,10,1,1,0.38
5,15,0,1,0.45
1,7,1,0,0.0
4,5,0,1,0.32
2,7,1,0,0.0
5,9,1,1,0.47
4,19,1,1,0.51
1,18,1,1,0.07
1,7,0,0,0.0
3,5,1,0,0.0
3,9,0,1,0.17
2,14,0,0,0.0
4,11,0,0,0.0
4,19,0,0,0.0
3,18,1,0,0.0
4,11,0,0,0.0
4,15,0,0,0.0
1,13,0,1,0.0
3,19,1,1,0.37
5,19,1,0,0.0
3,14,1,1,0.18
5,14,1,1,0.55
1,16,0,1,0.08
2,17,0,1,0.13
4,7,1,0,0.0
1,19,0,1,0.06
4,20,0,1,0.59
2,11,0,0,0.0
2,5,1,0,0.0
1,8,1,1,0.05
2,17,0,1,0.16
5,20,1,1,0.56
2,8,1,1,0.0
4,18,1,1,0.44
4,9,1,1,0.35
4,11,1,0,0.0
4,11,0,1,0.4
5,17,1,1,0.55
3,19,0,0,0.0
1,15,0,0,0.0
4,17,1,0,0.0
2,8,0,0,0.0
4,17,0,1,0.39
2,20,0,1,0.15
2,11,1,1,0.36
4,15,1,1,0.36
5,7,0,1,0.43
2,10,1,1,0.14
2,16,1,0,0.0
4,6,1,1,0.32
2,14,1,0,0.0
2,17,0,0,0.0
4,18,0,1,0.39
4,13,1,0,0.0
1,9,1,1,0.07
5,10,0,0,0.0
5,16,0,1,0.53
2,16,1,0,0.0
5,16,0,1,0.42
2,16,1,1,0.39
1,8,1,1,0.0
4,18,0,1,0.42
4,18,0,1,0.37
4,15,1,0,0.0
5,20,1,0,0.0
1,14,0,0,0.0
5,11,1,1,0.45
5,16,0,0,0.0
1,13,1,1,0.06
1,11,0,1,0.11
1,18,0,0,0.0
1,5,0,0,0.0
4,5,1,1,0.59
3,13,1,0,0.0
3,15,0,1,0.36
1,18,1,1,0.11
3,13,0,1,0.42
3,8,0,1,0.35
1,17,1,1,0.17
3,13,1,0,0.0
5,7,0,0,0.0
2,11,1,1,0.17
2,10,1,1,0.24
1,12,0,0,0.0
