Question_Difficulty,Total_Questions,Short_Questions_Included,Long_Questions_Included,Actual Long Question Proportion,Predicted Long Question Proportion
5,16,0,0,0.0,0.01
5,17,1,1,0.55,0.47
1,9,1,1,0.07,0.0
1,8,1,1,0.05,0.0
2,5,1,0,0.0,0.01
2,17,0,1,0.13,0.21
4,19,1,1,0.51,0.44
5,20,1,0,0.0,0.0
4,18,0,0,0.0,0.0
4,16,0,0,0.0,0.0
1,7,1,0,0.0,0.0
3,18,1,0,0.0,0.01
2,16,1,0,0.0,0.04
1,13,0,1,0.0,0.14
3,15,0,1,0.36,0.29
5,16,0,1,0.46,0.48
1,8,1,1,0.0,0.0
4,18,0,1,0.42,0.39
5,9,1,1,0.56,0.45
4,11,0,0,0.0,0.0
